ID;Codice;Configurazione;Tipo_Parete;Montante;Guida;Tipologia_Lastra;Spessore_Lastra_mm;Numero_Lati;Numero_Strati;Spessore_Totale_mm;Peso_kg_mq;Isolamento_Acustico_Rw_dB;Resistenza_Fuoco
1;p_singola-c50-std-6;Parete Singola;Parete;C 50/50;U 50/40;Standard;6;1;1;56;7.5;42;REI 30
2;p_singola-c50-std-9.5;Parete Singola;Parete;C 50/50;U 50/40;Standard;9.5;1;1;59.5;10.1;45;REI 30
3;p_singola-c50-std-12.5;Parete Singola;Parete;C 50/50;U 50/40;Standard;12.5;1;1;62.5;12.4;48;REI 30
4;p_singola-c50-std-15;Parete Singola;Parete;C 50/50;U 50/40;Standard;15;1;1;65;14.3;50;REI 30
5;p_singola-c50-std-18;Parete Singola;Parete;C 50/50;U 50/40;Standard;18;1;1;68;16.5;52;REI 30
6;p_singola-c50-std-25;Parete Singola;Parete;C 50/50;U 50/40;Standard;25;1;1;75;21.8;58;REI 30
7;p_singola-c50-h2o-6;Parete Singola;Parete;C 50/50;U 50/40;Idrofuga;6;1;1;56;7.5;42;REI 30
8;p_singola-c50-h2o-9.5;Parete Singola;Parete;C 50/50;U 50/40;Idrofuga;9.5;1;1;59.5;10.1;45;REI 30
9;p_singola-c50-h2o-12.5;Parete Singola;Parete;C 50/50;U 50/40;Idrofuga;12.5;1;1;62.5;12.4;48;REI 30
10;p_singola-c50-h2o-15;Parete Singola;Parete;C 50/50;U 50/40;Idrofuga;15;1;1;65;14.3;50;REI 30
11;p_singola-c50-h2o-18;Parete Singola;Parete;C 50/50;U 50/40;Idrofuga;18;1;1;68;16.5;52;REI 30
12;p_singola-c50-h2o-25;Parete Singola;Parete;C 50/50;U 50/40;Idrofuga;25;1;1;75;21.8;58;REI 30
13;p_singola-c50-fono-6;Parete Singola;Parete;C 50/50;U 50/40;Fonoisolante;6;1;1;56;7.5;47;REI 30
14;p_singola-c50-fono-9.5;Parete Singola;Parete;C 50/50;U 50/40;Fonoisolante;9.5;1;1;59.5;10.1;50;REI 30
15;p_singola-c50-fono-12.5;Parete Singola;Parete;C 50/50;U 50/40;Fonoisolante;12.5;1;1;62.5;12.4;53;REI 30
16;p_singola-c50-fono-15;Parete Singola;Parete;C 50/50;U 50/40;Fonoisolante;15;1;1;65;14.3;55;REI 30
17;p_singola-c50-fono-18;Parete Singola;Parete;C 50/50;U 50/40;Fonoisolante;18;1;1;68;16.5;57;REI 30
18;p_singola-c50-fono-25;Parete Singola;Parete;C 50/50;U 50/40;Fonoisolante;25;1;1;75;21.8;63;REI 30
19;p_singola-c50-fuoco-6;Parete Singola;Parete;C 50/50;U 50/40;Antifuoco;6;1;1;56;7.5;42;REI 45
20;p_singola-c50-fuoco-9.5;Parete Singola;Parete;C 50/50;U 50/40;Antifuoco;9.5;1;1;59.5;10.1;45;REI 45
21;p_singola-c50-fuoco-12.5;Parete Singola;Parete;C 50/50;U 50/40;Antifuoco;12.5;1;1;62.5;12.4;48;REI 45
22;p_singola-c50-fuoco-15;Parete Singola;Parete;C 50/50;U 50/40;Antifuoco;15;1;1;65;14.3;50;REI 60
23;p_singola-c50-fuoco-18;Parete Singola;Parete;C 50/50;U 50/40;Antifuoco;18;1;1;68;16.5;52;REI 60
24;p_singola-c50-fuoco-25;Parete Singola;Parete;C 50/50;U 50/40;Antifuoco;25;1;1;75;21.8;58;REI 60
25;p_singola-c50-flex-6;Parete Singola;Parete;C 50/50;U 50/40;Flessibile;6;1;1;56;7.5;42;REI 30
26;p_singola-c50-impatto-6;Parete Singola;Parete;C 50/50;U 50/40;Alta resistenza;6;1;1;56;7.5;42;REI 30
27;p_singola-c50-impatto-9.5;Parete Singola;Parete;C 50/50;U 50/40;Alta resistenza;9.5;1;1;59.5;10.1;45;REI 30
28;p_singola-c50-impatto-12.5;Parete Singola;Parete;C 50/50;U 50/40;Alta resistenza;12.5;1;1;62.5;12.4;48;REI 30
29;p_singola-c50-impatto-15;Parete Singola;Parete;C 50/50;U 50/40;Alta resistenza;15;1;1;65;14.3;50;REI 30
30;p_singola-c50-impatto-18;Parete Singola;Parete;C 50/50;U 50/40;Alta resistenza;18;1;1;68;16.5;52;REI 30
31;p_singola-c50-impatto-25;Parete Singola;Parete;C 50/50;U 50/40;Alta resistenza;25;1;1;75;21.8;58;REI 30
32;p_singola-c50-fibra-6;Parete Singola;Parete;C 50/50;U 50/40;Fibrorinforzata;6;1;1;56;7.5;42;REI 30
33;p_singola-c50-fibra-9.5;Parete Singola;Parete;C 50/50;U 50/40;Fibrorinforzata;9.5;1;1;59.5;10.1;45;REI 30
34;p_singola-c50-fibra-12.5;Parete Singola;Parete;C 50/50;U 50/40;Fibrorinforzata;12.5;1;1;62.5;12.4;48;REI 30
35;p_singola-c50-fibra-15;Parete Singola;Parete;C 50/50;U 50/40;Fibrorinforzata;15;1;1;65;14.3;50;REI 30
36;p_singola-c50-fibra-18;Parete Singola;Parete;C 50/50;U 50/40;Fibrorinforzata;18;1;1;68;16.5;52;REI 30
37;p_singola-c50-fibra-25;Parete Singola;Parete;C 50/50;U 50/40;Fibrorinforzata;25;1;1;75;21.8;58;REI 30
38;p_singola-c50-combi-6;Parete Singola;Parete;C 50/50;U 50/40;Combinata;6;1;1;56;7.5;42;REI 45
39;p_singola-c50-combi-9.5;Parete Singola;Parete;C 50/50;U 50/40;Combinata;9.5;1;1;59.5;10.1;45;REI 45
40;p_singola-c50-combi-12.5;Parete Singola;Parete;C 50/50;U 50/40;Combinata;12.5;1;1;62.5;12.4;48;REI 45
41;p_singola-c50-combi-15;Parete Singola;Parete;C 50/50;U 50/40;Combinata;15;1;1;65;14.3;50;REI 60
42;p_singola-c50-combi-18;Parete Singola;Parete;C 50/50;U 50/40;Combinata;18;1;1;68;16.5;52;REI 60
43;p_singola-c50-combi-25;Parete Singola;Parete;C 50/50;U 50/40;Combinata;25;1;1;75;21.8;58;REI 60
44;p_singola-c75-std-6;Parete Singola;Parete;C 75/50;U 75/40;Standard;6;1;1;81;7.5;46;REI 30
45;p_singola-c75-std-9.5;Parete Singola;Parete;C 75/50;U 75/40;Standard;9.5;1;1;84.5;10.1;49;REI 30
46;p_singola-c75-std-12.5;Parete Singola;Parete;C 75/50;U 75/40;Standard;12.5;1;1;87.5;12.4;51;REI 30
47;p_singola-c75-std-15;Parete Singola;Parete;C 75/50;U 75/40;Standard;15;1;1;90;14.3;53;REI 30
48;p_singola-c75-std-18;Parete Singola;Parete;C 75/50;U 75/40;Standard;18;1;1;93;16.5;56;REI 30
49;p_singola-c75-std-25;Parete Singola;Parete;C 75/50;U 75/40;Standard;25;1;1;100;21.8;61;REI 30
50;p_singola-c75-h2o-6;Parete Singola;Parete;C 75/50;U 75/40;Idrofuga;6;1;1;81;7.5;46;REI 30
51;p_singola-c75-h2o-9.5;Parete Singola;Parete;C 75/50;U 75/40;Idrofuga;9.5;1;1;84.5;10.1;49;REI 30
52;p_singola-c75-h2o-12.5;Parete Singola;Parete;C 75/50;U 75/40;Idrofuga;12.5;1;1;87.5;12.4;51;REI 30
53;p_singola-c75-h2o-15;Parete Singola;Parete;C 75/50;U 75/40;Idrofuga;15;1;1;90;14.3;53;REI 30
54;p_singola-c75-h2o-18;Parete Singola;Parete;C 75/50;U 75/40;Idrofuga;18;1;1;93;16.5;56;REI 30
55;p_singola-c75-h2o-25;Parete Singola;Parete;C 75/50;U 75/40;Idrofuga;25;1;1;100;21.8;61;REI 30
56;p_singola-c75-fono-6;Parete Singola;Parete;C 75/50;U 75/40;Fonoisolante;6;1;1;81;7.5;51;REI 30
57;p_singola-c75-fono-9.5;Parete Singola;Parete;C 75/50;U 75/40;Fonoisolante;9.5;1;1;84.5;10.1;54;REI 30
58;p_singola-c75-fono-12.5;Parete Singola;Parete;C 75/50;U 75/40;Fonoisolante;12.5;1;1;87.5;12.4;56;REI 30
59;p_singola-c75-fono-15;Parete Singola;Parete;C 75/50;U 75/40;Fonoisolante;15;1;1;90;14.3;58;REI 30
60;p_singola-c75-fono-18;Parete Singola;Parete;C 75/50;U 75/40;Fonoisolante;18;1;1;93;16.5;61;REI 30
61;p_singola-c75-fono-25;Parete Singola;Parete;C 75/50;U 75/40;Fonoisolante;25;1;1;100;21.8;66;REI 30
62;p_singola-c75-fuoco-6;Parete Singola;Parete;C 75/50;U 75/40;Antifuoco;6;1;1;81;7.5;46;REI 45
63;p_singola-c75-fuoco-9.5;Parete Singola;Parete;C 75/50;U 75/40;Antifuoco;9.5;1;1;84.5;10.1;49;REI 45
64;p_singola-c75-fuoco-12.5;Parete Singola;Parete;C 75/50;U 75/40;Antifuoco;12.5;1;1;87.5;12.4;51;REI 45
65;p_singola-c75-fuoco-15;Parete Singola;Parete;C 75/50;U 75/40;Antifuoco;15;1;1;90;14.3;53;REI 60
66;p_singola-c75-fuoco-18;Parete Singola;Parete;C 75/50;U 75/40;Antifuoco;18;1;1;93;16.5;56;REI 60
67;p_singola-c75-fuoco-25;Parete Singola;Parete;C 75/50;U 75/40;Antifuoco;25;1;1;100;21.8;61;REI 60
68;p_singola-c75-flex-6;Parete Singola;Parete;C 75/50;U 75/40;Flessibile;6;1;1;81;7.5;46;REI 30
